Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Outbound,2017,January,Sunday,7-8 PM,678,331
130032 Washington,Outbound,2017,January,Sunday,8-9 PM,533,332
130032 Washington,Outbound,2017,January,Sunday,9-10 PM,467,333
130032 Washington,Outbound,2017,January,Sunday,10-11 PM,353,334
130032 Washington,Outbound,2017,January,Sunday,11-12 PM,277,335
130032 Washington,Inbound,2017,February,Monday,12-1 AM,125,336
130032 Washington,Inbound,2017,February,Monday,1-2 AM,79,337
130032 Washington,Inbound,2017,February,Monday,2-3 AM,61,338
130032 Washington,Inbound,2017,February,Monday,3-4 AM,61,339
130032 Washington,Inbound,2017,February,Monday,4-5 AM,151,340
130032 Washington,Inbound,2017,February,Monday,5-6 AM,610,341
130032 Washington,Inbound,2017,February,Monday,6-7 AM,1631,342
130032 Washington,Inbound,2017,February,Monday,7-8 AM,2882,343
130032 Washington,Inbound,2017,February,Monday,8-9 AM,2407,344
130032 Washington,Inbound,2017,February,Monday,9-10 AM,1482,345
130032 Washington,Inbound,2017,February,Monday,10-11 AM,1200,346
130032 Washington,Inbound,2017,February,Monday,11-12 AM,1238,347
130032 Washington,Inbound,2017,February,Monday,12-1 PM,1358,348
130032 Washington,Inbound,2017,February,Monday,1-2 PM,1305,349
130032 Washington,Inbound,2017,February,Monday,2-3 PM,1291,350
130032 Washington,Inbound,2017,February,Monday,3-4 PM,1294,351
130032 Washington,Inbound,2017,February,Monday,4-5 PM,1437,352
130032 Washington,Inbound,2017,February,Monday,5-6 PM,1464,353
130032 Washington,Inbound,2017,February,Monday,6-7 PM,1184,354
130032 Washington,Inbound,2017,February,Monday,7-8 PM,807,355
130032 Washington,Inbound,2017,February,Monday,8-9 PM,670,356
130032 Washington,Inbound,2017,February,Monday,9-10 PM,552,357
130032 Washington,Inbound,2017,February,Monday,10-11 PM,416,358
130032 Washington,Inbound,2017,February,Monday,11-12 PM,265,359
130032 Washington,Inbound,2017,February,Tuesday,12-1 AM,137,360
130032 Washington,Inbound,2017,February,Tuesday,1-2 AM,89,361
130032 Washington,Inbound,2017,February,Tuesday,2-3 AM,66,362
130032 Washington,Inbound,2017,February,Tuesday,3-4 AM,73,363
130032 Washington,Inbound,2017,February,Tuesday,4-5 AM,171,364
130032 Washington,Inbound,2017,February,Tuesday,5-6 AM,654,365
130032 Washington,Inbound,2017,February,Tuesday,6-7 AM,1739,366
130032 Washington,Inbound,2017,February,Tuesday,7-8 AM,2994,367
130032 Washington,Inbound,2017,February,Tuesday,8-9 AM,2569,368
130032 Washington,Inbound,2017,February,Tuesday,9-10 AM,1484,369
130032 Washington,Inbound,2017,February,Tuesday,10-11 AM,1196,370
130032 Washington,Inbound,2017,February,Tuesday,11-12 AM,1247,371
130032 Washington,Inbound,2017,February,Tuesday,12-1 PM,1416,372
130032 Washington,Inbound,2017,February,Tuesday,1-2 PM,1313,373
130032 Washington,Inbound,2017,February,Tuesday,2-3 PM,1316,374
130032 Washington,Inbound,2017,February,Tuesday,3-4 PM,1320,375
130032 Washington,Inbound,2017,February,Tuesday,4-5 PM,1459,376
130032 Washington,Inbound,2017,February,Tuesday,5-6 PM,1553,377
130032 Washington,Inbound,2017,February,Tuesday,6-7 PM,1265,378
130032 Washington,Inbound,2017,February,Tuesday,7-8 PM,911,379
130032 Washington,Inbound,2017,February,Tuesday,8-9 PM,677,380
130032 Washington,Inbound,2017,February,Tuesday,9-10 PM,645,381
130032 Washington,Inbound,2017,February,Tuesday,10-11 PM,444,382
130032 Washington,Inbound,2017,February,Tuesday,11-12 PM,270,383
130032 Washington,Inbound,2017,February,Wednesday,12-1 AM,165,384
130032 Washington,Inbound,2017,February,Wednesday,1-2 AM,88,385
130032 Washington,Inbound,2017,February,Wednesday,2-3 AM,74,386
130032 Washington,Inbound,2017,February,Wednesday,3-4 AM,63,387
130032 Washington,Inbound,2017,February,Wednesday,4-5 AM,168,388
130032 Washington,Inbound,2017,February,Wednesday,5-6 AM,657,389
130032 Washington,Inbound,2017,February,Wednesday,6-7 AM,1708,390
130032 Washington,Inbound,2017,February,Wednesday,7-8 AM,2956,391
130032 Washington,Inbound,2017,February,Wednesday,8-9 AM,2523,392
130032 Washington,Inbound,2017,February,Wednesday,9-10 AM,1497,393
130032 Washington,Inbound,2017,February,Wednesday,10-11 AM,1263,394
130032 Washington,Inbound,2017,February,Wednesday,11-12 AM,1332,395
130032 Washington,Inbound,2017,February,Wednesday,12-1 PM,1401,396
130032 Washington,Inbound,2017,February,Wednesday,1-2 PM,1289,397
130032 Washington,Inbound,2017,February,Wednesday,2-3 PM,1333,398
130032 Washington,Inbound,2017,February,Wednesday,3-4 PM,1396,399
130032 Washington,Inbound,2017,February,Wednesday,4-5 PM,1527,400
130032 Washington,Inbound,2017,February,Wednesday,5-6 PM,1673,401
130032 Washington,Inbound,2017,February,Wednesday,6-7 PM,1392,402
130032 Washington,Inbound,2017,February,Wednesday,7-8 PM,951,403
130032 Washington,Inbound,2017,February,Wednesday,8-9 PM,748,404
130032 Washington,Inbound,2017,February,Wednesday,9-10 PM,651,405
130032 Washington,Inbound,2017,February,Wednesday,10-11 PM,469,406
130032 Washington,Inbound,2017,February,Wednesday,11-12 PM,325,407
130032 Washington,Inbound,2017,February,Thursday,12-1 AM,155,408
130032 Washington,Inbound,2017,February,Thursday,1-2 AM,91,409
130032 Washington,Inbound,2017,February,Thursday,2-3 AM,68,410
