X,Y,OBJECTID,IntersectionID,InterDescription,Lat,Lon,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdCash,WkdSvc,WkdBdPerSvc,DotSize
-89.4419079561959,43.0607490618531,1390,378,,43.060757,-89.441914,18.93,2,3.68,0,0,0,0,0,0,94630.45
-89.4865019431045,43.0607950647842,1391,379,,43.060803,-89.486508,31.37,16,10.33,0,0,0,0,0,0,156854.97
-89.4655219486724,43.0609210632897,1392,380,,43.060929,-89.465528,25.87,1.33,2.68,0,0,0,0,0,0,129346.94
-89.4611309509084,43.0609250628315,1393,381,,43.060933,-89.461137,16.24,4,3.01,0,0,0,0,0,0,81191.8
-89.2938859994591,43.0617110533945,1394,382,,43.061719,-89.293892,1.25,1.67,0.33,0,0,0,0,0,0,6245.23
-89.3234109904628,43.0620080551493,1395,383,,43.062016,-89.323417,61.91,25.71,18.08,0,0,0,0,0,0,309556.98
-89.3199109916197,43.0620730550988,1396,384,,43.062081,-89.319917,109.1,18.04,1,0,0,0,0,0,0,545483.36
-89.5270509302404,43.0638790666799,1397,385,,43.063887,-89.527057,5.03,1.67,0.33,0,0,0,0,0,0,25147.58
-89.4888349421945,43.0631350638937,1398,386,,43.063143,-89.488841,10.38,0,0,0,0,0,0,0,0,51903.31
-89.4863799422166,43.0631900643193,1399,387,,43.063198,-89.486386,13.39,0,0,0,0,0,0,0,0,66972.02
-89.4784359446544,43.0632680637649,1400,388,,43.063276,-89.478442,6.92,0,0,0,0,0,0,0,0,34602.21
-89.4189329621439,43.06371006039,1401,389,,43.063718,-89.418939,55.2,17,12.09,0,0,0,0,0,0,275982.73
-89.5125799352722,43.0641290657978,1402,390,,43.064137,-89.512586,16.83,0,0,0,0,0,0,0,0,84152.98
-89.4339259580256,43.0643240606341,1403,391,,43.064332,-89.433932,5.94,0,0.33,0,0,0,0,0,0,29677
-89.2914259995465,43.0653000534449,1404,392,,43.065308,-89.291432,1,0,0,0,0,0,0,0,0,5004.93
-89.4784329449393,43.0660040634326,1405,393,,43.066012,-89.478439,8.04,0,0,0,0,0,0,0,0,40183.21
-89.3030119967342,43.0663090536292,1406,394,,43.066317,-89.303018,1.56,0,0,0,0,0,0,0,0,7787.28
-89.5244099314812,43.0663970652655,1407,395,,43.066405,-89.524416,9.06,0.33,0.67,0,0,0,0,0,0,45289.59
-89.3088629945121,43.066857053879,1408,396,,43.066865,-89.308869,1,0,0,0,0,0,0,0,0,5011.37
-89.4545609518913,43.0673140620065,1409,397,,43.067322,-89.454567,9.03,0,0,0,0,0,0,0,0,45168.41
-89.4970779387362,43.0675320643106,1410,398,,43.06754,-89.497084,3.13,0,0,0,0,0,0,0,0,15626.8
-89.4167409631312,43.067845059736,1411,399,,43.067853,-89.416747,24.64,25,12.07,0,0,0,0,0,0,123187.57
-89.4264339596155,43.0679220597497,1412,400,,43.06793,-89.42644,149.73,10,5.69,0,0,0,0,0,0,748644.43
-89.4757929449828,43.0680620625073,1413,401,,43.06807,-89.475799,3.68,0,0.33,0,0,0,0,0,0,18417.31
-89.4500019525206,43.0680910615085,1414,402,,43.068099,-89.450008,10.6,3.34,1.33,0,0,0,0,0,0,53019.51
-89.2817520023268,43.0681340520601,1415,403,,43.068142,-89.281758,0.78,0,0,0,0,0,0,0,0,3896.89
-89.5247509302429,43.069427065375,1416,404,,43.069435,-89.524757,3.7,1.33,0.67,0,0,0,0,0,0,18522.89
-89.4009439674466,43.0693170583441,1417,405,,43.069325,-89.40095,38.88,29.37,17.1,0,0,0,0,0,0,194392.64
-89.4463809543721,43.0694920606674,1418,406,,43.0695,-89.446387,11.83,0.67,0,0,0,0,0,0,0,59158.62
-89.4040719662661,43.069594058517,1419,407,,43.069602,-89.404078,42.19,19.09,18,0,0,0,0,0,0,210932.36
-89.2914399997005,43.0702100519512,1420,408,,43.070218,-89.291446,6.12,0,0,0,0,0,0,0,0,30615.45
-89.4139309628643,43.0702940591943,1421,409,,43.070302,-89.413937,51.3,16.61,1,0,0,0,0,0,0,256505.25
-89.4781119446192,43.0712760625741,1422,410,,43.071284,-89.478118,0,1,0.67,0,0,0,0,0,0,0
-89.4388389556782,43.0713790600214,1423,411,,43.071387,-89.438845,4.13,0,1,0,0,0,0,0,0,20649.71
-89.5200019315964,43.0722710647541,1424,412,,43.072279,-89.520008,14.48,0,0,0,0,0,0,0,0,72385.08
-89.4215629611846,43.0727500589737,1425,413,,43.072758,-89.421569,280.13,99.33,76.2,0,0,0,0,0,0,1400654.03
-89.3074609948755,43.0731440522696,1426,414,,43.073152,-89.307467,14.9,0,0,0,0,0,0,0,0,74523.31
-89.4675479473153,43.073161061705,1427,415,,43.073169,-89.467554,22.9,13.78,4.67,0,0,0,0,0,0,114502.27
-89.3841479721196,43.0731990571827,1428,416,,43.073207,-89.384154,644.16,111.46,96.69,0,0,0,0,0,0,3220816.78
-89.4040889658891,43.0727570582934,1429,417,,43.072765,-89.404095,617.77,75.21,61.55,0,0,0,0,0,0,3088863.47
-89.2985009968683,43.0733230519494,1430,418,,43.073331,-89.298507,0.33,0,0,0,0,0,0,0,0,1668.31
-89.2958159982519,43.073337051544,1431,419,,43.073345,-89.295822,0.22,0,0,0,0,0,0,0,0,1112.21
-89.4139199635131,43.0734240581679,1432,420,,43.073432,-89.413926,306.23,96.72,69.51,0,0,0,0,0,0,1531153.08
-89.3820629718766,43.0746620563892,1433,421,,43.07467,-89.382069,502.82,128.8,94.74,0,0,0,0,0,0,2514103.47
-89.3862359705099,43.0747270566133,1434,422,,43.074735,-89.386242,465.15,184.26,144.17,0,0,0,0,0,0,2325742.82
-89.4778259443438,43.0749220614088,1435,423,,43.07493,-89.477832,20.94,2.33,3.33,0,0,0,0,0,0,104679.96
-89.4982999377737,43.0752340627788,1436,424,,43.075242,-89.498306,15.59,2,1,0,0,0,0,0,0,77953.16
